date,mean_occupancy,pct_hours_empty,pct_hours_full,month
2026-04-01,0.3624376393934057,0.22355072463768116,0.06195652173913044,4
2026-04-02,0.3706672276565253,0.1891304347826087,0.05615942028985507,4
2026-04-03,0.37617373633647366,0.1532608695652174,0.05217391304347826,4
2026-04-04,0.38568232633047744,0.16666666666666666,0.057971014492753624,4
2026-04-05,0.38181102940123174,0.1681159420289855,0.059057971014492755,4
2026-04-06,0.3749014929683062,0.16594202898550725,0.042028985507246375,4
2026-04-07,0.3608474843577065,0.1956521739130435,0.04565217391304348,4
2026-04-08,0.3416521309311963,0.2597826086956522,0.06340579710144928,4
2026-04-09,0.3517470704743416,0.26231884057971017,0.07753623188405798,4
2026-04-10,0.3638712268081327,0.21231884057971015,0.05507246376811594,4
2026-04-11,0.3766991496666858,0.2072463768115942,0.059420289855072465,4
2026-04-12,0.37627643585884474,0.21920289855072464,0.07427536231884058,4
2026-04-13,0.36102571619949836,0.19818840579710145,0.043478260869565216,4
2026-04-14,0.3617821581518068,0.20181159420289854,0.05036231884057971,4
2026-04-15,0.36311484567545904,0.2217391304347826,0.05543478260869565,4
2026-04-16,0.36995596239552625,0.22427536231884057,0.06521739130434782,4
2026-04-17,0.3794781645582853,0.16231884057971013,0.0572463768115942,4
2026-04-18,0.38510458566635936,0.12934782608695652,0.051086956521739134,4
2026-04-19,0.3859505661274907,0.1460144927536232,0.06304347826086956,4
2026-04-20,0.3652942750462362,0.188768115942029,0.05398550724637681,4
2026-04-21,0.3631288192827818,0.2492753623188406,0.06123188405797102,4
2026-04-22,0.36362542018183214,0.24130434782608695,0.06920289855072463,4
2026-04-23,0.360935092171891,0.2076086956521739,0.05579710144927536,4
2026-04-24,0.37043183477882574,0.188768115942029,0.06340579710144928,4
2026-04-25,0.3819129420981328,0.21231884057971015,0.09782608695652174,4
2026-04-26,0.3870529071620715,0.21594202898550724,0.09130434782608696,4
2026-04-27,0.3716407367211233,0.213768115942029,0.06956521739130435,4
2026-04-28,0.35572955314353116,0.2543478260869565,0.057608695652173914,4
2026-04-29,0.35160309406897194,0.2467391304347826,0.06485507246376812,4
2026-04-30,0.35975831232209343,0.2510869565217391,0.06485507246376812,4
2026-05-01,0.36704654084713256,0.20615942028985507,0.06666666666666667,5
2026-05-02,0.3779708635410525,0.18478260869565216,0.09710144927536232,5
2026-05-03,0.3803937012580124,0.17173913043478262,0.10036231884057971,5
2026-05-04,0.3828663292328204,0.188768115942029,0.09057971014492754,5
2026-05-05,0.36272236963147925,0.22246376811594204,0.057608695652173914,5
2026-05-06,0.35690231599480937,0.21159420289855072,0.05,5
2026-05-07,0.3594277792837731,0.23659420289855074,0.06268115942028986,5
2026-05-08,0.3669129769708181,0.2257246376811594,0.060144927536231886,5
2026-05-09,0.3773260003973569,0.21920289855072464,0.0782608695652174,5
2026-05-10,0.38167827456199616,0.22644927536231885,0.08731884057971015,5
2026-05-11,0.36099129709317057,0.1858695652173913,0.04673913043478261,5
2026-05-12,0.3559211599842573,0.23876811594202899,0.06340579710144928,5
2026-05-13,0.358128466971756,0.23478260869565218,0.05471014492753623,5
2026-05-14,0.3654381173090764,0.22355072463768116,0.05253623188405797,5
2026-05-15,0.3740375992941092,0.20978260869565218,0.0641304347826087,5
2026-05-16,0.3912376857035501,0.2141304347826087,0.10905797101449276,5
2026-05-17,0.3926077822596061,0.21268115942028987,0.10398550724637681,5
2026-05-18,0.36729078167556517,0.1956521739130435,0.05398550724637681,5
2026-05-19,0.36426192626172815,0.22480058013052936,0.05547498187092096,5
2026-05-20,0.3599185204903513,0.2378535170413343,0.05873821609862219,5
2026-05-21,0.3658865160789139,0.2072463768115942,0.05,5
2026-05-22,0.3715339874277398,0.19738751814223512,0.057329462989840346,5
