station_id,name,lat,lon,capacity,mean_occupancy,pct_hours_empty,pct_hours_full,volatility,am_occ,pm_occ,role
1,CLARENDON ROW,53.340927,-6.262501,31.0,0.4076996018654285,0.2113970588235294,0.058823529411764705,0.30949860893543196,0.5918619761361698,0.2963650954779987,Commuter destination (fills in AM)
10,DAME STREET,53.344006,-6.266802,16.0,0.7099913443527075,0.050528249885163065,0.3968764354616445,0.26873847755232094,0.6494565847221287,0.7183005969724721,Balanced
100,HEUSTON BRIDGE (SOUTH),53.347107,-6.292041,25.0,0.7039082650111589,0.07395498392282958,0.42443729903536975,0.3287531482609157,0.1776567899573081,0.9309769563769563,Commuter origin (fills in PM)
101,KING STREET NORTH,53.350292,-6.273507,30.0,0.285793262480217,0.17179604960955444,0.011483693155718878,0.21806730485770137,0.14857254339025172,0.24611887186887188,Commuter origin (fills in PM)
102,WESTERN WAY,53.35493,-6.269425,40.0,0.1488317214735451,0.38677078548461186,0.0,0.1442782846554046,0.12829947326708985,0.17282730463980464,Balanced
103,GRANGEGORMAN LOWER (SOUTH),53.354664,-6.278681,40.0,0.14161694744185552,0.39568014705882354,0.0,0.14833152464658364,0.16016668733465608,0.12298395354645354,Balanced
104,GRANGEGORMAN LOWER (CENTRAL),53.35517,-6.278424,40.0,0.14468475066631933,0.48507119889756545,0.0,0.1628615356539071,0.12058609250992064,0.17433524808524808,Balanced
105,GRANGEGORMAN LOWER (NORTH),53.355953,-6.278378,36.0,0.10028282909333766,0.5206801470588235,0.0,0.12996067331134634,0.06788125551146384,0.10646261531678199,Balanced
106,RATHDOWN ROAD,53.35893,-6.280337,40.0,0.27517412750445597,0.1773082223242995,0.0,0.18416720380448265,0.2099519061824761,0.34583600427350425,Commuter origin (fills in PM)
107,CHARLEVILLE ROAD,53.359158,-6.281866,40.0,0.29927202375152534,0.14699127239320164,0.0,0.19530048008638792,0.15033156789957308,0.39117124542124543,Commuter origin (fills in PM)
108,AVONDALE ROAD,53.359406,-6.276142,35.0,0.25383905446405447,0.22802197802197802,0.0,0.18797821651289315,0.17025555396983968,0.30091012955298674,Commuter origin (fills in PM)
109,BUCKINGHAM STREET LOWER,53.353333,-6.249319,29.0,0.5657194414305691,0.04181985294117647,0.13189338235294118,0.27961012531208645,0.45855628845930574,0.49221619855240545,Balanced
11,EARLSFORT TERRACE,53.334293,-6.258503,30.0,0.19320388485255213,0.48253676470588236,0.0078125,0.23652547392227957,0.4695709325396826,0.07060894198394198,Commuter destination (fills in AM)
110,PHIBSBOROUGH ROAD,53.356308,-6.273717,40.0,0.24001649600208397,0.1864951768488746,0.0,0.16925554197417936,0.16399387098221296,0.28646516677766676,Commuter origin (fills in PM)
111,MOUNTJOY SQUARE EAST,53.356716,-6.256359,40.0,0.10841811880313261,0.38443830570902393,0.0,0.10347323735119618,0.04579955526244589,0.11876757617382618,Balanced
112,NORTH CIRCULAR ROAD (O'CONNELL'S),53.35784,-6.251557,30.0,0.4567346700687683,0.1413492427719137,0.13584212941716384,0.32644938990814576,0.20294383451599946,0.41107064232064233,Commuter origin (fills in PM)
