station_id,day_of_week,hour,actual_bikes
1,0,0,10.76923076923077
1,0,1,10.76923076923077
1,0,2,10.76923076923077
1,0,3,10.76923076923077
1,0,4,10.564407814407815
1,0,5,12.803113553113555
1,0,6,15.461754911754912
1,0,7,18.16479353979354
1,0,8,21.15326617826618
1,0,9,23.56941391941392
1,0,10,24.292857142857144
1,0,11,24.16941391941392
1,0,12,21.594078144078143
1,0,13,17.531213231213233
1,0,14,16.45
1,0,15,14.765201465201464
1,0,16,12.357034632034631
1,0,17,10.052508602508603
1,0,18,9.048351648351648
1,0,19,8.12087912087912
1,0,20,7.708333333333334
1,0,21,6.960470085470086
1,0,22,6.395604395604395
1,0,23,6.384615384615385
1,1,0,6.384615384615385
1,1,1,6.384615384615385
1,1,2,6.384615384615385
1,1,3,6.384615384615385
1,1,4,6.203754578754579
1,1,5,8.492948717948718
1,1,6,11.6243894993895
1,1,7,14.302000777000776
1,1,8,22.436896436896436
1,1,9,25.454975579975578
1,1,10,23.191422466422466
1,1,11,20.4248445998446
1,1,12,14.909892884892885
1,1,13,13.284038184038184
1,1,14,11.716075591075592
1,1,15,11.313134088134088
1,1,16,8.890656565656565
1,1,17,4.931440781440783
1,1,18,4.093201243201244
1,1,19,4.066697191697192
1,1,20,3.4345238095238093
1,1,21,2.272283272283272
1,1,22,1.5402930402930404
1,1,23,1.3956043956043955
1,2,0,1.3846153846153846
1,2,1,1.3846153846153846
1,2,2,1.3846153846153846
1,2,3,1.3846153846153846
1,2,4,1.7507631257631258
1,2,5,6.369200244200244
1,2,6,9.85873015873016
1,2,7,13.598387723387724
1,2,8,19.146087246087248
1,2,9,20.069555444555444
1,2,10,20.010378510378512
1,2,11,19.476523476523475
1,2,12,17.43212898212898
1,2,13,15.421001221001221
1,2,14,12.460927960927961
1,2,15,8.545604395604396
1,2,16,6.570920745920746
1,2,17,4.977985902985903
1,2,18,4.3112637362637365
1,2,19,2.6245421245421245
1,2,20,1.9766483516483517
1,2,21,1.200091575091575
1,2,22,0.8888888888888888
1,2,23,0.6153846153846154
1,3,0,0.6153846153846154
1,3,1,0.6153846153846154
1,3,2,0.6666666666666666
1,3,3,0.6666666666666666
1,3,4,0.9305555555555555
1,3,5,4.730856180856181
1,3,6,9.581117724867726
1,3,7,11.258164983164983
1,3,8,14.64077380952381
1,3,9,17.11329365079365
1,3,10,16.44221611721612
1,3,11,17.989221889221888
1,3,12,16.28842823842824
1,3,13,15.238247863247864
1,3,14,12.094200244200245
1,3,15,9.603632478632479
1,3,16,10.32789432789433
1,3,17,10.457314907314908
1,3,18,9.806526806526806
1,3,19,7.059015984015984
1,3,20,4.8803946053946055
1,3,21,3.7155067155067156
1,3,22,2.2002442002442
1,3,23,1.7837301587301586
1,4,0,1.6923076923076923
1,4,1,1.6923076923076923
1,4,2,1.6923076923076923
1,4,3,1.6923076923076923
1,4,4,1.936813186813187
1,4,5,5.989713064713064
1,4,6,10.094505494505494
1,4,7,13.10467032967033
1,4,8,18.390689865689865
1,4,9,21.88739316239316
1,4,10,23.418290043290042
1,4,11,22.9998778998779
1,4,12,21.93226495726496
1,4,13,19.107264957264956
1,4,14,16.345726495726495
1,4,15,15.54574592074592
1,4,16,16.59040404040404
1,4,17,16.591045066045066
1,4,18,16.349048174048175
1,4,19,16.519627594627593
1,4,20,16.23046398046398
1,4,21,14.805522255522256
1,4,22,11.939529914529913
1,4,23,10.6256105006105
1,5,0,10.384615384615385
1,5,1,10.384615384615385
1,5,2,10.384615384615385
1,5,3,10.384615384615385
1,5,4,10.566391941391942
1,5,5,12.541514041514041
1,5,6,15.818956043956044
1,5,7,17.536477411477414
1,5,8,20.502228327228327
1,5,9,22.596367521367522
1,5,10,21.94419746919747
1,5,11,22.041172716172717
1,5,12,21.760914085914084
1,5,13,19.840129315129314
1,5,14,19.2212814962815
1,5,15,18.84801587301587
1,5,16,19.958100233100232
1,5,17,17.782944832944832
1,5,18,16.084881784881784
1,5,19,15.78434065934066
1,5,20,17.133394383394382
1,5,21,17.919871794871796
1,5,22,16.246031746031747
1,5,23,14.763583638583638
1,6,0,14.692307692307692
1,6,1,14.692307692307692
1,6,2,14.692307692307692
1,6,3,14.692307692307692
1,6,4,14.75091575091575
1,6,5,15.821886446886445
1,6,6,18.534432234432234
1,6,7,20.577991452991455
1,6,8,22.41880341880342
1,6,9,24.46657509157509
1,6,10,25.045895770895772
1,6,11,25.00304417804418
1,6,12,24.50716228216228
1,6,13,22.392343767343768
1,6,14,22.40970140970141
1,6,15,21.254659229659232
1,6,16,20.119749694749697
1,6,17,18.743678543678545
1,6,18,16.838369963369964
1,6,19,16.271978021978022
1,6,20,15.781135531135531
1,6,21,13.746184371184372
1,6,22,12.396825396825395
1,6,23,10.961630036630037
10,0,0,12.307692307692308
10,0,1,12.307692307692308
10,0,2,12.307692307692308
10,0,3,12.307692307692308
10,0,4,12.57051282051282
10,0,5,11.527014652014653
10,0,6,11.733699633699633
10,0,7,12.716575091575093
10,0,8,13.932967032967033
10,0,9,13.803540903540902
10,0,10,12.483391608391608
10,0,11,11.946764346764347
10,0,12,12.911477411477412
10,0,13,12.007753357753359
10,0,14,12.967551892551892
10,0,15,13.55103785103785
10,0,16,11.475444000444002
10,0,17,12.742535242535242
10,0,18,13.34447496947497
10,0,19,13.367673992673993
10,0,20,13.094993894993895
10,0,21,12.538308913308914
10,0,22,11.329365079365079
10,0,23,10.296978021978022
10,1,0,10.307692307692308
10,1,1,10.307692307692308
10,1,2,10.307692307692308
10,1,3,10.307692307692308
10,1,4,10.812728937728936
10,1,5,11.569139194139193
10,1,6,11.457692307692307
10,1,7,10.213425463425464
10,1,8,11.168803418803419
10,1,9,11.255189255189256
10,1,10,11.510592185592184
10,1,11,11.038511488511489
10,1,12,10.839377289377289
10,1,13,11.178785103785104
10,1,14,10.405860805860804
10,1,15,9.031460206460206
10,1,16,5.6211205461205465
10,1,17,7.395004995004995
10,1,18,9.462315462315463
10,1,19,9.940903540903541
10,1,20,8.687576312576313
10,1,21,7.372419247419247
10,1,22,5.64514652014652
10,1,23,4.925824175824175
10,2,0,5.0
10,2,1,5.0
10,2,2,5.0
10,2,3,5.0
10,2,4,5.541666666666666
10,2,5,5.892246642246642
10,2,6,6.308150183150183
10,2,7,7.635034410034409
10,2,8,10.273504273504273
10,2,9,12.141514041514041
10,2,10,11.927991452991453
10,2,11,11.253091353091353
10,2,12,12.107029082029081
10,2,13,11.772435897435896
10,2,14,10.426282051282051
10,2,15,9.527333777333778
10,2,16,8.969250194250195
10,2,17,10.477466977466976
10,2,18,11.855128205128207
10,2,19,12.392338217338217
10,2,20,12.461538461538462
10,2,21,11.23489010989011
10,2,22,9.408760683760683
10,2,23,7.720695970695971
10,3,0,7.615384615384615
10,3,1,7.615384615384615
10,3,2,8.375
10,3,3,8.5
10,3,4,8.85218253968254
10,3,5,8.47800925925926
10,3,6,8.832175925925926
10,3,7,8.325462962962963
10,3,8,10.206914381914382
10,3,9,9.433394383394383
10,3,10,8.862240537240536
10,3,11,8.676587301587302
10,3,12,8.510286935286935
10,3,13,8.510286935286935
10,3,14,9.681987456987457
10,3,15,9.412301587301588
10,3,16,9.408780108780109
10,3,17,10.62841047841048
10,3,18,12.558316683316683
10,3,19,13.015123765123764
10,3,20,12.49541292041292
10,3,21,11.976800976800977
10,3,22,9.685897435897436
10,3,23,7.9004884004884
10,4,0,7.923076923076923
10,4,1,7.923076923076923
10,4,2,7.923076923076923
10,4,3,7.923076923076923
10,4,4,8.158424908424909
10,4,5,7.628205128205129
10,4,6,6.9984737484737485
