day_of_week,hour,mean_occupancy,mean_bikes,pct_hours_empty
0,0,0.3877202534815143,12.017255127101075,0.1620897521768252
0,1,0.387873922926872,12.02181609415367,0.1620897521768252
0,2,0.38798054521622893,12.025472044142507,0.1620897521768252
0,3,0.3880365949590353,12.027135893428595,0.1620897521768252
0,4,0.38237488783644685,11.852826779903136,0.16141995981245813
0,5,0.37234291170687295,11.557238855882526,0.15874079035498995
0,6,0.36198676888899006,11.305332702201422,0.17213663764233086
0,7,0.34236890163322614,10.67276397641679,0.20710455764075067
0,8,0.35665923612626016,11.107228876652856,0.25586068318821165
0,9,0.3611079174821899,11.306734892702742,0.2565304755525787
0,10,0.3595344709111317,11.284593929922128,0.2531815137307435
0,11,0.3543266750026956,11.113807315331092,0.22973878097789685
0,12,0.35967769028742247,11.269106817867701,0.2116543871399866
0,13,0.3627703455376025,11.393785332030477,0.20763563295378432
0,14,0.36380902432927,11.365820582632372,0.18888144675150703
0,15,0.3599936859074521,11.13508177652518,0.1707970529135968
0,16,0.34932131992103027,10.80569434658517,0.19089082384460818
0,17,0.3605413869635202,11.130531948515873,0.2103148024112525
0,18,0.3684225181600819,11.453615284023858,0.2116543871399866
0,19,0.37234297481010564,11.640746572025876,0.19892833221701273
0,20,0.3757051030022014,11.779426621975183,0.20696584058941728
0,21,0.37729254010677776,11.8558976280845,0.20763563295378432
0,22,0.3784460956817484,11.928316003784857,0.2116543871399866
0,23,0.3800127459542253,11.999222296643595,0.21835231078365708
1,0,0.38124951133411,12.037715689088763,0.2217012726054923
1,1,0.381293106773975,12.038847957133289,0.2217012726054923
1,2,0.3813160105933312,12.039350301406564,0.2217012726054923
1,3,0.3813217846654378,12.039517749497655,0.2217012726054923
1,4,0.3746513808492723,11.842608242022173,0.2156731413261889
1,5,0.3610017403980331,11.464772763516903,0.1855324849296718
1,6,0.34740897165598406,11.076890568685611,0.1781647689216343
1,7,0.31968223846288185,10.112925567028046,0.2016075016744809
1,8,0.3438023673650198,10.806306051617504,0.2926992632283992
1,9,0.3539164769793631,11.195083042655046,0.2913596784996651
