model,mae,rmse,r2
RandomForest,4.964354304631125,6.577193269009076,0.5552773710162244
Naive baseline (station x day x hour mean),4.964443328522237,6.578987926823509,0.5550346432151112
XGBoost,5.969485754096646,7.4008111930912825,0.43692444885114934
LinearRegression,6.59457279212364,8.293669568504924,0.2928663928382593
